doc #,high_score
  0,0.568359
  1,0.332635
  2,0.365286
  3,0.248511
  4,0.353855
  5,0.325460
  6,0.505432
  7,0.151148
  8,0.520998
  9,0.218103
 10,0.194940
 11,0.142077
 12,0.137498
 13,0.259145
 14,0.415418
 15,0.173920
 16,0.154263
 17,0.144887
 18,0.372035
 19,0.345742
 20,0.247404
 21,0.570269
 22,0.356548
 23,0.595209
 24,0.283507
 25,0.159920
 26,0.295087
 27,0.240702
 28,0.215137
 29,0.243640
 30,0.428378
 31,0.352484
 32,0.481233
 33,0.431662
 34,0.899818
 35,0.285713
 36,0.482315
 37,0.251355
 38,0.237226
 39,0.184918
 40,0.244916
 41,0.415418
 42,0.297807
 43,0.472036
 44,0.139311
 45,0.151487
 46,0.588576
 47,0.366638
 48,0.407518
 49,0.285432
 50,0.213017
 51,0.452673
 52,0.608907
 53,0.588846
 54,0.149572
 55,0.195481
 56,0.415733
 57,0.566171
 58,0.363742
 59,0.785313
 60,0.321340
 61,0.330068
 62,0.899818
 63,0.206044
 64,0.308725
 65,0.566171
 66,0.487561
 67,0.425667
 68,0.156952
 69,0.200030
 70,0.208893
 71,0.230569
 72,0.211830
 73,0.365286
 74,0.306072
 75,0.377255
 76,0.156174
 77,0.153419
 78,0.372013
 79,0.396580
 80,0.393683
 81,0.238001
 82,0.229122
 83,0.707930
 84,0.323956
 85,0.293920
 86,0.846312
 87,0.221356
 88,0.313815
 89,0.402217
 90,0.200831
 91,0.385432
 92,0.266722
 93,0.250195
 94,0.414858
 95,0.294950
 96,0.464630
 97,0.216193
 98,0.290139
 99,0.557317
100,0.371315
101,0.254821
102,0.207839
103,0.263973
104,0.846312
105,0.202335
106,0.291075
107,0.745713
108,0.250758
109,0.637015
110,0.408745
111,0.314792
112,0.368987
113,0.257462
114,0.370366
115,0.298694
116,0.316216
117,0.316907
118,0.141882
119,0.308654
120,0.223407
121,0.370366
122,0.285954
123,0.171618
124,0.351774
125,0.336749
126,0.199873
127,0.157261
128,0.180194
129,0.194319
130,0.509097
131,0.443497
132,0.185943
133,0.487958
134,0.411225
135,0.252179
136,0.314322
137,0.241886
138,0.237226
139,0.301755
140,0.261376
141,0.358704
142,0.556321
143,0.228002
144,0.557317
145,0.347446
146,0.499401
147,0.281518
148,0.346692
149,0.300336
150,0.190182
151,0.520998
152,0.290139
153,0.186392
154,0.286743
155,0.397730
156,0.291822
157,0.266564
158,0.236462
159,0.320530
160,0.120336
161,0.295128
162,0.196993
163,0.284726
164,0.320488
165,0.453554
166,0.385432
167,0.273362
168,0.371985
169,0.745713
170,0.674780
171,0.174923
172,0.246304
173,0.247075
174,0.628936
175,0.568359
176,0.352889
177,0.264039
178,0.215438
179,0.372035
180,0.335286
181,0.430532
182,0.300336
183,0.722216
184,0.674780
185,0.041274
186,0.564279
187,0.263102
188,0.384960
189,0.384960
190,0.316389
191,0.278205
192,0.542026
193,0.197161
194,0.369149
195,0.285807
196,0.192899
197,0.163015
198,0.400210
199,0.338862
200,0.177415
201,0.231817
202,0.417170
203,0.295379
204,0.400335
205,0.301408
206,0.421228
207,0.168491
208,0.297075
209,0.162252
210,0.136843
211,0.328960
212,0.604820
213,0.506393
214,0.493477
215,0.276976
216,0.400210
217,0.385016
218,0.227370
219,0.180223
220,0.330523
221,0.348169
222,0.305570
223,0.248797
224,0.351934
225,0.244321
226,0.163374
227,0.261967
228,0.157187
229,0.630630
230,0.709384
231,0.213295
232,0.265746
233,0.674404
234,0.456829
235,0.481609
236,0.308125
237,0.250458
238,0.317213
239,0.260655
240,0.306028
241,0.261015
242,0.370067
243,0.874592
244,0.880664
245,0.287032
246,0.425667
247,0.315527
248,0.418395
249,0.368987
250,0.506393
251,0.490484
252,0.181185
253,0.233275
254,0.221356
255,0.187566
256,0.221467
257,0.703134
258,0.359698
259,0.356953
260,0.347446
261,0.669121
262,0.336094
263,0.261216
264,0.242632
265,0.396718
266,0.218463
267,0.407518
268,0.287666
269,0.332068
270,0.636770
271,0.468260
272,0.257462
273,0.418395
274,0.375814
275,0.193879
276,0.210661
277,0.184918
278,0.400499
279,0.245222
280,0.226568
281,0.360060
282,0.285182
283,0.194367
284,0.287666
285,0.447306
286,0.230848
287,0.179395
288,0.305007
289,0.556321
290,0.303067
291,0.285499
292,0.175513
293,0.504399
294,0.293404
295,0.445921
296,0.373945
297,0.218956
298,0.132986
299,0.232892
300,0.305570
301,0.223996
302,0.445921
303,0.674404
304,0.275992
305,0.145233
306,0.415733
307,0.228820
308,0.146751
309,0.174928
310,0.136625
311,0.323299
312,0.227370
313,0.318791
