numOpenRequirements,numInProgressRequirements,ticket,numDevelopers,numDevelopedRequirementsBeforeThisInProgress,numDescOpen,numDescInProgress,numDescResolved,numDescReopened,numDescClosed,numCommitsOpen,numCommitsInProgress,numCommitsResolved,numCommitsReopened,numCommitsClosed,numOpenWhileThisOpen,numInProgressWhileThisOpen,numResolvedWhileThisOpen,numReopenedWhileThisOpen,numClosedWhileThisOpen,numOpenWhenInProgress,numInProgressWhenInProgress,numReopenedWhenInProgress,numResolvedWhenInProgress,numClosedWhenInProgress,Open|Closed,In Progress|Open,Resolved|Reopened,Resolved|Closed,Closed|Open,Closed|Reopened,In Progress|Resolved,In Progress|Reopened,Reopened|In Progress,Resolved|In Progress,Open|In Progress,Reopened|Open,Open|Reopened,Resolved|Open,Reopened|Resolved,Closed|Resolved,Reopened|Closed,Open|Resolved,In Progress|Closed,Closed|In Progress
197,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TIKA-2332,1,NA,0,0,0,0,0,1,0,0,0,0,197,38,140,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,TIKA-2233,3,NA,0,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-2232,1,NA,0,0,0,0,0,5,0,4,0,0,196,38,136,12,63,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
,,TIKA-2084,3,NA,2,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-2053,3,NA,0,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-2016,1,146,0,0,0,0,0,1,7,0,0,0,192,37,133,12,63,43,4,1,83,62,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,TIKA-2000,3,NA,2,0,0,0,0,0,0,0,0,0,197,38,141,14,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TIKA-1993,1,NA,0,0,0,0,0,3,0,0,0,0,193,38,133,12,63,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,TIKA-1988,1,NA,1,0,0,0,0,3,0,3,0,0,197,38,139,13,63,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
